"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-01","11.6","H,,S","13.9",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-02","11.4","H,,S","15.6",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-03","1.4","H,,S","3.9",",,W","-4.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-04","-2.7","H,,S","2.2",",,W","-6.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-05","3.2","H,,S","8.9",",,W","0.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-06","4.9","H,,S","6.1",",,W","2.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-07","0.7","H,,S","2.2",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-08","-2.5","H,,S","0.0",",,W","-4.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-09","1.4","H,,S","5.6",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-10","1.6","H,,S","5.6",",,W","-3.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-11","-5.4","H,,S","-3.2",",,W","-8.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-12","-1.9","H,,S","5.6",",,W","-6.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-13","4.0","H,,S","7.8",",,W","0.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-14","4.8","H,,S","6.1",",,W","-5.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-15","-6.7","H,,S","-5.5",",,W","-10.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-16","-8.0","H,,S","4.4",",,W","-12.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-17","3.9","H,,S","7.8",",,W","1.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-18","1.8","H,,S","3.3",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-19","3.2","H,,S","10.6",",,W","-1.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-20","5.1","H,,S","8.3",",,W","-4.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-21","-6.0","H,,S","-4.9",",,W","-9.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-22","-5.9","H,,S","-1.0",",,W","-9.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-23","-0.7","H,,S","3.3",",,W","-3.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-24","-0.2","H,,S","3.3",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-25","3.6","H,,S","6.1",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-26","-2.3","H,,S","-1.0",",,W","-6.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-27","-4.2","H,,S","0.0",",,W","-7.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-28","0.1","H,,S","1.7",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-29","-4.8","H,,S","-1.0",",,W","-9.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-30","-7.1","H,,S","-2.7",",,W","-9.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-01-31","-3.4","H,,S","-1.0",",,W","-7.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-01","-1.7","H,,S","2.8",",,W","-4.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-02","2.3","H,,S","5.6",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-03","6.4","H,,S","8.9",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-04","5.8","H,,S","12.8",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-05","-2.8","H,,S","-1.6",",,W","-6.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-06","-4.8","H,,S","0.0",",,W","-8.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-07","0.5","H,,S","4.4",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-08","4.1","H,,S","8.3",",,W","1.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-09","2.8","H,,S","6.7",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-10","6.3","H,,S","13.3",",,W","1.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-11","8.6","H,,S","13.3",",,W","2.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-12","11.8","H,,S","15.6",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-13","2.8","H,,S","5.6",",,W","-3.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-14","-4.3","H,,S","-2.7",",,W","-7.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-15","-4.7","H,,S","0.0",",,W","-7.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-16","1.6","H,,S","8.3",",,W","-2.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-17","11.6","H,,S","17.2",",,W","8.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-18","9.9","H,,S","17.2",",,W","-2.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-19","0.1","H,,S","5.0",",,W","-3.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-20","-2.6","H,,S","2.2",",,W","-5.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-21","4.1","H,,S","12.2",",,W","0.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-22","5.6","H,,S","13.3",",,W","2.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-23","14.4","H,,S","20.0",",,W","2.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-24","1.1","H,,S","2.2",",,W","-1.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-25","0.8","H,,S","6.1",",,W","-2.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-26","-1.1","H,,S","3.3",",,W","-4.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-27","2.4","H,,S","8.9",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-02-28","0.8","H,,S","2.2",",,W","-2.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-01","2.6","H,,S","8.9",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-02","7.7","H,,S","11.7",",,W","4.4",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-03","5.6","H,,S","8.9",",,W","-3.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-04","-1.9","H,,S","3.3",",,W","-5.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-05","3.1","H,,S","7.2",",,W","-0.5",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-06","9.6","H,,S","20.0",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-07","18.2","H,,S","23.3",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-08","8.7","H,,S","10.0",",,W","4.4",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-09","3.2","H,,S","5.0",",,W","0.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-10","4.0","H,,S","10.0",",,W","0.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-11","7.2","H,,S","11.7",",,W","2.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-12","5.1","H,,S","8.3",",,W","-3.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-13","-2.3","H,,S","1.7",",,W","-4.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-14","5.3","H,,S","13.9",",,W","1.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-15","11.6","H,,S","20.0",",,W","7.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-16","13.6","H,,S","17.8",",,W","6.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-17","8.2","H,,S","12.8",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-18","13.9","H,,S","22.8",",,W","9.4",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-19","13.1","H,,S","20.0",",,W","7.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-20","14.3","H,,S","16.1",",,W","7.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-21","10.4","H,,S","16.7",",,W","6.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-22","10.7","H,,S","13.9",",,W","6.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-23","7.2","H,,S","8.3",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-24","5.7","H,,S","8.3",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-25","9.6","H,,S","15.6",",,W","6.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-26","10.4","H,,S","11.7",",,W","6.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-27","5.9","H,,S","7.2",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-28","-1.5","H,,S","0.0",",,W","-4.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-29","-1.2","H,,S","2.8",",,W","-3.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-30","2.6","H,,S","8.3",",,W","-1.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-03-31","9.9","H,,S","17.8",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-01","13.1","H,,S","16.1",",,W","6.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-02","7.2","H,,S","12.8",",,W","3.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-03","7.0","H,,S","7.8",",,W","5.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-04","7.6","H,,S","12.2",",,W","4.4",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-05","9.7","H,,S","12.8",",,W","6.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-06","8.6","H,,S","11.7",",,W","6.7",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-07","9.1","H,,S","13.3",",,W","7.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-08","12.8","H,,S","17.8",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-09","11.4","H,,S","13.3",",,W","8.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-10","8.6","H,,S","9.4",",,W","6.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-11","8.8","H,,S","15.6",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-12","13.4","H,,S","21.7",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-13","15.4","H,,S","20.6",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-14","16.3","H,,S","21.7",",,W","12.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-15","15.7","H,,S","20.6",",,W","10.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-16","15.7","H,,S","21.1",",,W","7.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-17","8.3","H,,S","10.0",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-18","7.9","H,,S","11.7",",,W","5.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-19","7.6","H,,S","10.0",",,W","4.4",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-20","9.4","H,,S","15.6",",,W","6.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-21","10.6","H,,S","15.0",",,W","7.2",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-22","14.6","H,,S","20.0",",,W","11.1",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-23","13.3","H,,S","16.1",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-24","12.8","H,,S","15.6",",,W","8.9",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-25","10.4","H,,S","14.4",",,W","7.8",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-26","11.5","H,,S","15.6",",,W","10.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-27","11.6","H,,S","15.0",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-28","8.2","H,,S","13.3",",,W","5.0",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-29","10.4","H,,S","16.7",",,W","5.6",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-04-30","12.9","H,,S","19.4",",,W","8.3",",,W"
"USW00014732","LAGUARDIA AIRPORT, NY US","40.77945","-73.88027","3.0","2022-05-01","13.6","H,,S","19.4",",,W","8.9",",,W"
